"LGA","Year","Offence_Category_DMV","Subcategory","Total_DMV_Offences","Offence_Category_Drug","Total_Drug_Offences","Alcohol_induced_DMV_Offences","Non_Alcohol_induced_DMV_offences","Total_Employed","new_Unemployment_Data"
"Cumberland",2018,"Assault","Domestic violence related assault",894,"Drug offences",989,148,744,86118,148038
"Cumberland",2019,"Assault","Domestic violence related assault",924,"Drug offences",1127,153,772,88513,150213
"Cumberland",2020,"Assault","Domestic violence related assault",779,"Drug offences",961,189,879,87592,152294
"Dubbo Regional",2016,"Assault","Domestic violence related assault",404,"Drug offences",228,107,297,25707,25762
"Dubbo Regional",2017,"Assault","Domestic violence related assault",346,"Drug offences",218,81,265,25839,26345
"Dubbo Regional",2018,"Assault","Domestic violence related assault",572,"Drug offences",345,125,447,26654,26605
"Dubbo Regional",2019,"Assault","Domestic violence related assault",696,"Drug offences",334,149,548,27566,26193
"Dubbo Regional",2020,"Assault","Domestic violence related assault",472,"Drug offences",368,132,499,27409,26686
"Dungog",2016,"Assault","Domestic violence related assault",24,"Drug offences",20,13,11,2548,6552
"Dungog",2017,"Assault","Domestic violence related assault",25,"Drug offences",8,13,12,2560,6632
"Dungog",2018,"Assault","Domestic violence related assault",31,"Drug offences",15,14,17,2641,6694
"Dungog",2019,"Assault","Domestic violence related assault",18,"Drug offences",18,10,8,2734,6687
"Dungog",2020,"Assault","Domestic violence related assault",30,"Drug offences",10,16,20,2731,6932
"Edward River",2016,"Assault","Domestic violence related assault",60,"Drug offences",95,25,35,4849,5372
"Edward River",2017,"Assault","Domestic violence related assault",38,"Drug offences",113,6,31,4843,5334
"Edward River",2018,"Assault","Domestic violence related assault",55,"Drug offences",103,16,39,4983,5228
"Edward River",2019,"Assault","Domestic violence related assault",58,"Drug offences",91,10,47,5147,5100
"Edward River",2020,"Assault","Domestic violence related assault",41,"Drug offences",58,12,45,5130,5102
"Eurobodalla",2016,"Assault","Domestic violence related assault",141,"Drug offences",195,57,84,14011,23978
"Eurobodalla",2017,"Assault","Domestic violence related assault",156,"Drug offences",179,73,83,14111,24074
"Eurobodalla",2018,"Assault","Domestic violence related assault",178,"Drug offences",206,76,102,14564,23801
"Eurobodalla",2019,"Assault","Domestic violence related assault",135,"Drug offences",198,64,71,15063,23539
"Eurobodalla",2020,"Assault","Domestic violence related assault",138,"Drug offences",212,72,122,14933,24189
"Fairfield",2016,"Assault","Domestic violence related assault",736,"Drug offences",1061,141,595,67471,138908
"Fairfield",2017,"Assault","Domestic violence related assault",728,"Drug offences",1081,152,575,67800,141625
"Fairfield",2018,"Assault","Domestic violence related assault",705,"Drug offences",979,147,558,69606,141474
"Fairfield",2019,"Assault","Domestic violence related assault",757,"Drug offences",1051,155,602,71564,140794
"Fairfield",2020,"Assault","Domestic violence related assault",542,"Drug offences",1034,147,622,70765,140772
"Federation",2016,"Assault","Domestic violence related assault",31,"Drug offences",28,10,21,5865,6380
"Federation",2017,"Assault","Domestic violence related assault",32,"Drug offences",34,9,23,5804,6473
"Federation",2018,"Assault","Domestic violence related assault",21,"Drug offences",41,5,16,5946,6350
"Federation",2019,"Assault","Domestic violence related assault",36,"Drug offences",61,16,20,6109,6164
"Federation",2020,"Assault","Domestic violence related assault",31,"Drug offences",19,11,29,6026,6403
"Forbes",2016,"Assault","Domestic violence related assault",81,"Drug offences",44,25,56,4636,5767
"Forbes",2017,"Assault","Domestic violence related assault",58,"Drug offences",57,19,39,4654,5783
"Forbes",2018,"Assault","Domestic violence related assault",70,"Drug offences",53,20,50,4787,5669
"Forbes",2019,"Assault","Domestic violence related assault",79,"Drug offences",72,25,54,4946,5542
"Forbes",2020,"Assault","Domestic violence related assault",63,"Drug offences",34,21,61,4935,5570
"Georges River",2016,"Assault","Domestic violence related assault",443,"Drug offences",370,89,355,49016,104267
"Georges River",2017,"Assault","Domestic violence related assault",443,"Drug offences",290,98,345,49677,107118
"Georges River",2018,"Assault","Domestic violence related assault",434,"Drug offences",311,111,323,51376,107195
"Georges River",2019,"Assault","Domestic violence related assault",494,"Drug offences",384,114,379,53320,106536
"Georges River",2020,"Assault","Domestic violence related assault",317,"Drug offences",286,100,348,53288,107340
"Gilgandra",2016,"Assault","Domestic violence related assault",33,"Drug offences",33,8,25,1846,2594
"Gilgandra",2017,"Assault","Domestic violence related assault",40,"Drug offences",31,13,27,1837,2572
"Gilgandra",2018,"Assault","Domestic violence related assault",37,"Drug offences",39,17,20,1887,2500
"Gilgandra",2019,"Assault","Domestic violence related assault",42,"Drug offences",38,21,21,1950,2446
"Gilgandra",2020,"Assault","Domestic violence related assault",35,"Drug offences",11,21,33,1947,2442
"Glen Innes Severn",2016,"Assault","Domestic violence related assault",106,"Drug offences",29,40,66,3518,5415
"Glen Innes Severn",2017,"Assault","Domestic violence related assault",72,"Drug offences",46,30,44,3504,5418
"Glen Innes Severn",2018,"Assault","Domestic violence related assault",56,"Drug offences",53,26,30,3590,5309
"Glen Innes Severn",2019,"Assault","Domestic violence related assault",64,"Drug offences",51,26,39,3697,5171
"Glen Innes Severn",2020,"Assault","Domestic violence related assault",53,"Drug offences",33,23,50,3667,5205
"Goulburn Mulwaree",2016,"Assault","Domestic violence related assault",105,"Drug offences",146,38,66,13209,15474
"Goulburn Mulwaree",2017,"Assault","Domestic violence related assault",127,"Drug offences",145,40,87,13304,15673
"Goulburn Mulwaree",2018,"Assault","Domestic violence related assault",116,"Drug offences",226,44,72,13744,15453
"Goulburn Mulwaree",2019,"Assault","Domestic violence related assault",113,"Drug offences",188,30,84,14239,15309
"Goulburn Mulwaree",2020,"Assault","Domestic violence related assault",87,"Drug offences",173,38,95,14186,15857
"Greater Hume Shire",2016,"Assault","Domestic violence related assault",18,"Drug offences",14,8,10,3936,6549
